id,idCust,txtFname,txtLname,txtAddr1,txtCity,txtState,zipCode
1,0000012160,Monica,Williams,563 Garcia Mills,Adamsstad,Arkansas,31500
2,0000135C65,Valerie,Bird,50041 Stevens Shores,Brandiville,Wyoming,93241
3,00005D3F96,Marcus,Taylor,160 Shaw Via,Perryview,Kentucky,76166
4,0000714F14,Marisa,Grant,548 Sandra Mount,West Deborahview,Kentucky,45537
5,000084D371,Benjamin,Perry,655 West Knoll Apt. 049,Mannberg,South Carolina,41569
6,0000C4C4FF,Nicholas,Rivera,231 Jones Parkway,West Staceytown,New Mexico,2316
7,0000CD5952,Scott,Myers,8824 Cynthia Vista Apt. 120,Colefort,Rhode Island,69136
8,0000D1EC1F,Sarah,Harris,505 Mccarthy Bypass,Kimmouth,Texas,18608
9,0000ED3EB1,John,Cameron,035 Diaz Drives Apt. 084,Leblancburgh,Pennsylvania,61853
10,0000F1A074,Jerry,Rodriguez,7769 Erika Mall,Ellenmouth,New Hampshire,7347
11,000153EE52,Abigail,Lee,68407 Anthony Greens Suite 871,Cynthiahaven,Texas,24976
12,0001B54BBC,Tamara,Foster,44579 Patterson Court Suite 217,New Kimberlyberg,Michigan,38881
13,000228D2C4,Deanna,Dean,069 Shields Forge Suite 562,Boyleville,Ohio,36835
14,00022E6750,Erika,Rosario,2452 Ortega Ferry Apt. 350,Kathleenmouth,Alabama,24007
15,00026419AB,Molly,Luna,7651 Brittney Light Suite 566,Lake Laura,Alaska,47718
16,000353E5DA,Lisa,Johnson,108 Kevin View,Andreville,Indiana,8982
17,00035BD2FF,Virginia,Carr,12291 Mark Inlet,Susanstad,Nevada,3022
18,0003877C25,Eric,Jacobs,148 Jenny Walks Apt. 683,North Jesse,Illinois,49097
19,00039408BA,Bryan,Burns,177 Ashley Inlet,North Josephchester,California,81058
20,0003CA8A65,Amanda,Andrews,20940 Julie Drives,Lake Vincentfurt,Nevada,98774
21,0003F4E373,Steven,Lopez,75365 Jacqueline Greens Apt. 768,Lopezland,Wisconsin,76790
22,00042301A4,Charles,Olson,119 Keith Ridges,Robertberg,North Carolina,95367
